Gen,Resource,Stamp,TimeStamp_Start,TimeStamp_End,Duration,Indiv_id
0,1,FirstEvaluation,527235665244916,527236097730291,432485375,-1
0,1,STEP,527236097966208,527236103335458,5369250,-1
1,1,STEP,527236103429958,527236107033125,3603167,-1
2,1,STEP,527236107140208,527236110686583,3546375,-1
3,1,STEP,527236110803375,527236113776083,2972708,-1
4,1,STEP,527236113885541,527236116674041,2788500,-1
5,1,STEP,527236116777041,527236119202583,2425542,-1
6,1,STEP,527236119304083,527236121597166,2293083,-1
7,1,STEP,527236121696083,527236123837541,2141458,-1
8,1,STEP,527236123931125,527236126094000,2162875,-1
9,1,STEP,527236126214250,527236129172166,2957916,-1
10,1,STEP,527236129279916,527236131626333,2346417,-1
11,1,STEP,527236131732500,527236134011916,2279416,-1
12,1,STEP,527236134110625,527236136158916,2048291,-1
13,1,STEP,527236136257916,527236138003125,1745209,-1
14,1,STEP,527236138098500,527236140264166,2165666,-1
15,1,STEP,527236140353958,527236142489750,2135792,-1
16,1,STEP,527236142584125,527236145154708,2570583,-1
17,1,STEP,527236145259166,527236147238041,1978875,-1
18,1,STEP,527236147344833,527236149505791,2160958,-1
19,1,STEP,527236149613833,527236151738666,2124833,-1
20,1,STEP,527236151837333,527236154042541,2205208,-1
21,1,STEP,527236154140041,527236155874541,1734500,-1
22,1,STEP,527236155970916,527236158126458,2155542,-1
23,1,STEP,527236158229833,527236160492625,2262792,-1
24,1,STEP,527236160593208,527236163116666,2523458,-1
25,1,STEP,527236163228500,527236165956500,2728000,-1
26,1,STEP,527236166051208,527236168116291,2065083,-1
27,1,STEP,527236168214125,527236169876791,1662666,-1
28,1,STEP,527236169971375,527236171713333,1741958,-1
29,1,STEP,527236171822416,527236173974791,2152375,-1
30,1,STEP,527236174082000,527236176398416,2316416,-1
31,1,STEP,527236176494083,527236178885958,2391875,-1
32,1,STEP,527236179014708,527236180762250,1747542,-1
33,1,STEP,527236180867541,527236182363666,1496125,-1
34,1,STEP,527236182506083,527236184303791,1797708,-1
35,1,STEP,527236184446958,527236186227916,1780958,-1
36,1,STEP,527236186337833,527236188174541,1836708,-1
37,1,STEP,527236188269625,527236189913083,1643458,-1
38,1,STEP,527236190003041,527236191674041,1671000,-1
39,1,STEP,527236191766875,527236193400791,1633916,-1
40,1,STEP,527236193501125,527236195215875,1714750,-1
41,1,STEP,527236195311833,527236196924583,1612750,-1
42,1,STEP,527236197022333,527236198545708,1523375,-1
43,1,STEP,527236198674791,527236200039375,1364584,-1
44,1,STEP,527236200140416,527236201435791,1295375,-1
45,1,STEP,527236201563333,527236202946166,1382833,-1
46,1,STEP,527236203068208,527236204425125,1356917,-1
47,1,STEP,527236204515125,527236206004416,1489291,-1
48,1,STEP,527236206099791,527236207779375,1679584,-1
49,1,STEP,527236207875291,527236210019625,2144334,-1
50,1,STEP,527236210125833,527236211714208,1588375,-1
51,1,STEP,527236211811666,527236213121083,1309417,-1
52,1,STEP,527236213231083,527236214697500,1466417,-1
53,1,STEP,527236214810666,527236216697125,1886459,-1
54,1,STEP,527236216801000,527236218261416,1460416,-1
55,1,STEP,527236218369416,527236219974916,1605500,-1
56,1,STEP,527236220085500,527236221290416,1204916,-1
57,1,STEP,527236221384791,527236222740708,1355917,-1
58,1,STEP,527236222836291,527236224217708,1381417,-1
59,1,STEP,527236224316083,527236226046958,1730875,-1
60,1,STEP,527236226155333,527236227855666,1700333,-1
61,1,STEP,527236227951416,527236229709666,1758250,-1
62,1,STEP,527236229828041,527236231291916,1463875,-1
63,1,STEP,527236231397666,527236232783041,1385375,-1
64,1,STEP,527236232896166,527236234417375,1521209,-1
65,1,STEP,527236234534041,527236235941666,1407625,-1
66,1,STEP,527236236063833,527236237581791,1517958,-1
67,1,STEP,527236237700958,527236239315416,1614458,-1
68,1,STEP,527236239426083,527236241281291,1855208,-1
69,1,STEP,527236241398541,527236243033083,1634542,-1
70,1,STEP,527236243130708,527236244994583,1863875,-1
71,1,STEP,527236245123000,527236246591916,1468916,-1
72,1,STEP,527236246712500,527236248125208,1412708,-1
73,1,STEP,527236248253083,527236249453500,1200417,-1
74,1,STEP,527236249559375,527236250905875,1346500,-1
75,1,STEP,527236251018000,527236252505541,1487541,-1
76,1,STEP,527236252616458,527236254011000,1394542,-1
77,1,STEP,527236254112875,527236255414250,1301375,-1
78,1,STEP,527236255507500,527236256773208,1265708,-1
79,1,STEP,527236256861250,527236258343791,1482541,-1
80,1,STEP,527236258442125,527236259853916,1411791,-1
81,1,STEP,527236259953291,527236261354416,1401125,-1
82,1,STEP,527236261446250,527236263124291,1678041,-1
83,1,STEP,527236263242666,527236264911416,1668750,-1
84,1,STEP,527236265018541,527236266399458,1380917,-1
85,1,STEP,527236266506708,527236267776875,1270167,-1
86,1,STEP,527236267878041,527236269253833,1375792,-1
87,1,STEP,527236269358250,527236270631458,1273208,-1
88,1,STEP,527236270731416,527236272155666,1424250,-1
89,1,STEP,527236272265375,527236273625166,1359791,-1
90,1,STEP,527236273720541,527236275470958,1750417,-1
91,1,STEP,527236275558000,527236277123083,1565083,-1
92,1,STEP,527236277216083,527236278607125,1391042,-1
93,1,STEP,527236278703125,527236280541041,1837916,-1
94,1,STEP,527236280636666,527236282013458,1376792,-1
95,1,STEP,527236282118250,527236283458166,1339916,-1
96,1,STEP,527236283560875,527236284851708,1290833,-1
97,1,STEP,527236284949625,527236286224666,1275041,-1
98,1,STEP,527236286328375,527236287649416,1321041,-1
99,1,STEP,527236287740625,527236289218125,1477500,-1
100,1,STEP,527236289324791,527236290903041,1578250,-1
101,1,STEP,527236291011750,527236293000625,1988875,-1
102,1,STEP,527236293108583,527236294685291,1576708,-1
103,1,STEP,527236294792583,527236296104416,1311833,-1
104,1,STEP,527236296208833,527236297798000,1589167,-1
105,1,STEP,527236297898375,527236299261833,1363458,-1
106,1,STEP,527236299370791,527236300893416,1522625,-1
107,1,STEP,527236300997458,527236302254791,1257333,-1
108,1,STEP,527236302362875,527236303807833,1444958,-1
109,1,STEP,527236303897666,527236304895916,998250,-1
110,1,STEP,527236305000875,527236306196875,1196000,-1
111,1,STEP,527236306292666,527236307770875,1478209,-1
112,1,STEP,527236307876500,527236309604458,1727958,-1
113,1,STEP,527236309694625,527236311101375,1406750,-1
114,1,STEP,527236311198791,527236312424833,1226042,-1
115,1,STEP,527236312541458,527236314043666,1502208,-1
116,1,STEP,527236314156583,527236315316000,1159417,-1
117,1,STEP,527236315412166,527236317009833,1597667,-1
118,1,STEP,527236317111375,527236318996375,1885000,-1
119,1,STEP,527236319165500,527236320873708,1708208,-1
120,1,STEP,527236320970375,527236322655458,1685083,-1
121,1,STEP,527236322758958,527236324791750,2032792,-1
122,1,STEP,527236324897166,527236326576125,1678959,-1
123,1,STEP,527236326689333,527236328034458,1345125,-1
124,1,STEP,527236328149375,527236329624375,1475000,-1
125,1,STEP,527236329727583,527236331292750,1565167,-1
126,1,STEP,527236331402791,527236333052583,1649792,-1
127,1,STEP,527236333161458,527236335038916,1877458,-1
128,1,STEP,527236335134791,527236337135375,2000584,-1
129,1,STEP,527236337227708,527236340046916,2819208,-1
130,1,STEP,527236340148750,527236343327000,3178250,-1
131,1,STEP,527236343436791,527236347578583,4141792,-1
132,1,STEP,527236347706166,527236349544000,1837834,-1
133,1,STEP,527236349648416,527236351056166,1407750,-1
134,1,STEP,527236351168083,527236352364708,1196625,-1
135,1,STEP,527236352462458,527236353874041,1411583,-1
136,1,STEP,527236353971500,527236355292875,1321375,-1
137,1,STEP,527236355397250,527236356864958,1467708,-1
138,1,STEP,527236356971541,527236358956958,1985417,-1
139,1,STEP,527236359053375,527236360867458,1814083,-1
140,1,STEP,527236360975791,527236362152166,1176375,-1
141,1,STEP,527236362267416,527236363572541,1305125,-1
142,1,STEP,527236363683000,527236365125791,1442791,-1
143,1,STEP,527236365228916,527236366558458,1329542,-1
144,1,STEP,527236366664625,527236367913791,1249166,-1
145,1,STEP,527236368027125,527236369388333,1361208,-1
146,1,STEP,527236369489708,527236370742791,1253083,-1
147,1,STEP,527236370830125,527236372178708,1348583,-1
148,1,STEP,527236372281291,527236373751000,1469709,-1
149,1,STEP,527236373847916,527236375553375,1705459,-1
150,1,STEP,527236375652916,527236377205541,1552625,-1
151,1,STEP,527236377323083,527236378774541,1451458,-1
152,1,STEP,527236378897916,527236380147500,1249584,-1
153,1,STEP,527236380252041,527236381690458,1438417,-1
154,1,STEP,527236381814041,527236383192666,1378625,-1
155,1,STEP,527236383296166,527236386460166,3164000,-1
156,1,STEP,527236386838208,527236398952458,12114250,-1
157,1,STEP,527236399054666,527236404881166,5826500,-1
158,1,STEP,527236404981708,527236412900083,7918375,-1
159,1,STEP,527236412998875,527236425541291,12542416,-1
160,1,STEP,527236425644416,527236433076666,7432250,-1
161,1,STEP,527236433179000,527236441623541,8444541,-1
162,1,STEP,527236441730833,527236445836583,4105750,-1
163,1,STEP,527236445938666,527236449801375,3862709,-1
164,1,STEP,527236449922958,527236452439625,2516667,-1
165,1,STEP,527236452545333,527236455644250,3098917,-1
