Gen,Resource,Stamp,TimeStamp_Start,TimeStamp_End,Duration,Indiv_id
0,1,FirstEvaluation,527136539648500,527136960226416,420577916,-1
0,1,STEP,527136960454666,527136969052625,8597959,-1
1,1,STEP,527136969143833,527136973996750,4852917,-1
2,1,STEP,527136974087375,527136978071333,3983958,-1
3,1,STEP,527136978212166,527136982758125,4545959,-1
4,1,STEP,527136982848291,527136986169083,3320792,-1
5,1,STEP,527136986263541,527136990130958,3867417,-1
6,1,STEP,527136990225250,527136993603291,3378041,-1
7,1,STEP,527136993700500,527136997342000,3641500,-1
8,1,STEP,527136997427541,527137000604541,3177000,-1
9,1,STEP,527137000688208,527137003948208,3260000,-1
10,1,STEP,527137004061916,527137007350833,3288917,-1
11,1,STEP,527137007446208,527137010965833,3519625,-1
12,1,STEP,527137011051375,527137014314500,3263125,-1
13,1,STEP,527137014412583,527137017927500,3514917,-1
14,1,STEP,527137018017833,527137021723416,3705583,-1
15,1,STEP,527137021813250,527137025255250,3442000,-1
16,1,STEP,527137025351416,527137028476000,3124584,-1
17,1,STEP,527137028565791,527137031311166,2745375,-1
18,1,STEP,527137031405625,527137034483958,3078333,-1
19,1,STEP,527137034569291,527137038388166,3818875,-1
20,1,STEP,527137038483916,527137041878583,3394667,-1
21,1,STEP,527137041971666,527137044839000,2867334,-1
22,1,STEP,527137044938291,527137048386541,3448250,-1
23,1,STEP,527137048480958,527137051712833,3231875,-1
24,1,STEP,527137051808291,527137054986208,3177917,-1
25,1,STEP,527137055077000,527137057864916,2787916,-1
26,1,STEP,527137058010166,527137062246041,4235875,-1
27,1,STEP,527137062340166,527137065540166,3200000,-1
28,1,STEP,527137065624125,527137068344500,2720375,-1
29,1,STEP,527137068430708,527137071157250,2726542,-1
30,1,STEP,527137071253166,527137074095583,2842417,-1
31,1,STEP,527137074189583,527137077248458,3058875,-1
32,1,STEP,527137077335250,527137080161750,2826500,-1
33,1,STEP,527137080248541,527137083758208,3509667,-1
34,1,STEP,527137083840208,527137087212583,3372375,-1
35,1,STEP,527137087298750,527137090240416,2941666,-1
36,1,STEP,527137090333208,527137093244416,2911208,-1
37,1,STEP,527137093348458,527137097286833,3938375,-1
38,1,STEP,527137097375833,527137100059500,2683667,-1
39,1,STEP,527137100156875,527137103488166,3331291,-1
40,1,STEP,527137103581125,527137106150083,2568958,-1
41,1,STEP,527137106246833,527137109193083,2946250,-1
42,1,STEP,527137109289833,527137111798083,2508250,-1
43,1,STEP,527137111882958,527137114934833,3051875,-1
44,1,STEP,527137115033333,527137117768083,2734750,-1
45,1,STEP,527137117852375,527137120700000,2847625,-1
46,1,STEP,527137120781791,527137123163333,2381542,-1
47,1,STEP,527137123265583,527137126475000,3209417,-1
48,1,STEP,527137126618958,527137130306750,3687792,-1
49,1,STEP,527137130399500,527137132848625,2449125,-1
50,1,STEP,527137132930333,527137135635791,2705458,-1
51,1,STEP,527137135784250,527137138332708,2548458,-1
52,1,STEP,527137138425916,527137141243958,2818042,-1
53,1,STEP,527137141351250,527137143985208,2633958,-1
54,1,STEP,527137144080625,527137146998333,2917708,-1
55,1,STEP,527137147095791,527137149965041,2869250,-1
56,1,STEP,527137150061541,527137153179916,3118375,-1
57,1,STEP,527137153272791,527137156181916,2909125,-1
58,1,STEP,527137156270291,527137159135416,2865125,-1
59,1,STEP,527137159246458,527137161943208,2696750,-1
60,1,STEP,527137162035000,527137164992291,2957291,-1
61,1,STEP,527137165088625,527137167601416,2512791,-1
62,1,STEP,527137167688250,527137170966166,3277916,-1
63,1,STEP,527137171059708,527137173957791,2898083,-1
64,1,STEP,527137174062958,527137176515500,2452542,-1
65,1,STEP,527137176600708,527137178909333,2308625,-1
66,1,STEP,527137179006958,527137181596708,2589750,-1
67,1,STEP,527137181681375,527137184448000,2766625,-1
68,1,STEP,527137184545000,527137187140833,2595833,-1
69,1,STEP,527137187226958,527137189771791,2544833,-1
70,1,STEP,527137189873625,527137191997541,2123916,-1
71,1,STEP,527137192080708,527137194209291,2128583,-1
72,1,STEP,527137194294041,527137196601333,2307292,-1
73,1,STEP,527137196685541,527137199254833,2569292,-1
74,1,STEP,527137199344416,527137201902291,2557875,-1
75,1,STEP,527137202001333,527137204434750,2433417,-1
76,1,STEP,527137204521750,527137206799583,2277833,-1
77,1,STEP,527137206885875,527137208989625,2103750,-1
78,1,STEP,527137209088791,527137211228708,2139917,-1
79,1,STEP,527137211317875,527137213503750,2185875,-1
80,1,STEP,527137213597833,527137215712875,2115042,-1
81,1,STEP,527137215804250,527137217757458,1953208,-1
82,1,STEP,527137217841750,527137219847958,2006208,-1
83,1,STEP,527137219939041,527137222678500,2739459,-1
84,1,STEP,527137222768708,527137224782208,2013500,-1
85,1,STEP,527137224868416,527137226861333,1992917,-1
86,1,STEP,527137226956083,527137229006583,2050500,-1
87,1,STEP,527137229091250,527137230831833,1740583,-1
88,1,STEP,527137230914208,527137232976958,2062750,-1
89,1,STEP,527137233059833,527137235346000,2286167,-1
90,1,STEP,527137235435916,527137237293791,1857875,-1
91,1,STEP,527137237384625,527137239149666,1765041,-1
92,1,STEP,527137239233833,527137241188583,1954750,-1
93,1,STEP,527137241281083,527137243015666,1734583,-1
94,1,STEP,527137243106875,527137245460750,2353875,-1
95,1,STEP,527137245546666,527137247408000,1861334,-1
96,1,STEP,527137247495625,527137249523958,2028333,-1
97,1,STEP,527137249609791,527137251637625,2027834,-1
98,1,STEP,527137251726625,527137254190583,2463958,-1
99,1,STEP,527137254288791,527137256305000,2016209,-1
100,1,STEP,527137256398125,527137258661666,2263541,-1
101,1,STEP,527137258748791,527137260898208,2149417,-1
102,1,STEP,527137260987250,527137262771250,1784000,-1
103,1,STEP,527137262853041,527137264774916,1921875,-1
104,1,STEP,527137264876500,527137267142916,2266416,-1
105,1,STEP,527137267231541,527137269429125,2197584,-1
106,1,STEP,527137269511875,527137271839958,2328083,-1
107,1,STEP,527137271925583,527137273687000,1761417,-1
108,1,STEP,527137273764791,527137276081083,2316292,-1
109,1,STEP,527137276192000,527137278954833,2762833,-1
110,1,STEP,527137279046166,527137281140416,2094250,-1
111,1,STEP,527137281222916,527137282824750,1601834,-1
112,1,STEP,527137282914083,527137284729833,1815750,-1
113,1,STEP,527137284819750,527137286752416,1932666,-1
114,1,STEP,527137286845833,527137288549791,1703958,-1
115,1,STEP,527137288636000,527137290226000,1590000,-1
116,1,STEP,527137290321500,527137292335875,2014375,-1
117,1,STEP,527137292437041,527137294279375,1842334,-1
118,1,STEP,527137294365125,527137296193125,1828000,-1
119,1,STEP,527137296291791,527137298351083,2059292,-1
120,1,STEP,527137298444458,527137300647000,2202542,-1
121,1,STEP,527137300737166,527137302882791,2145625,-1
122,1,STEP,527137302974458,527137304989583,2015125,-1
123,1,STEP,527137305080333,527137307362000,2281667,-1
124,1,STEP,527137307460875,527137309635541,2174666,-1
125,1,STEP,527137309731541,527137312111208,2379667,-1
126,1,STEP,527137312209833,527137314376833,2167000,-1
127,1,STEP,527137314473291,527137316352541,1879250,-1
128,1,STEP,527137316450875,527137318569583,2118708,-1
129,1,STEP,527137318661250,527137320823250,2162000,-1
130,1,STEP,527137320911333,527137323006000,2094667,-1
131,1,STEP,527137323096791,527137325088208,1991417,-1
132,1,STEP,527137325185666,527137327245958,2060292,-1
133,1,STEP,527137327326666,527137329795125,2468459,-1
134,1,STEP,527137329892958,527137332349875,2456917,-1
135,1,STEP,527137332443416,527137334684708,2241292,-1
136,1,STEP,527137334778625,527137336651791,1873166,-1
137,1,STEP,527137336748416,527137338520000,1771584,-1
138,1,STEP,527137338616958,527137340777416,2160458,-1
139,1,STEP,527137340876541,527137342838666,1962125,-1
140,1,STEP,527137342930375,527137345003250,2072875,-1
141,1,STEP,527137345090250,527137346944083,1853833,-1
142,1,STEP,527137347043541,527137348735666,1692125,-1
143,1,STEP,527137348815833,527137350524583,1708750,-1
144,1,STEP,527137350611125,527137352366833,1755708,-1
145,1,STEP,527137352455333,527137354521708,2066375,-1
146,1,STEP,527137354619500,527137356820125,2200625,-1
147,1,STEP,527137356918166,527137359213208,2295042,-1
148,1,STEP,527137359307833,527137361038083,1730250,-1
149,1,STEP,527137361118625,527137363207250,2088625,-1
150,1,STEP,527137363292875,527137365418500,2125625,-1
151,1,STEP,527137365502375,527137367329500,1827125,-1
152,1,STEP,527137367424625,527137369256333,1831708,-1
153,1,STEP,527137369344500,527137371175958,1831458,-1
154,1,STEP,527137371274833,527137373422541,2147708,-1
155,1,STEP,527137373526041,527137375466875,1940834,-1
156,1,STEP,527137375744875,527137377821041,2076166,-1
157,1,STEP,527137377918791,527137379763208,1844417,-1
158,1,STEP,527137379850666,527137381760666,1910000,-1
159,1,STEP,527137381849333,527137383782000,1932667,-1
160,1,STEP,527137383876333,527137385949583,2073250,-1
161,1,STEP,527137386034375,527137387825541,1791166,-1
162,1,STEP,527137387931375,527137389944875,2013500,-1
163,1,STEP,527137390053750,527137391805458,1751708,-1
164,1,STEP,527137391897958,527137393438083,1540125,-1
165,1,STEP,527137393519666,527137395288750,1769084,-1
166,1,STEP,527137395382708,527137397098541,1715833,-1
167,1,STEP,527137397179416,527137398903291,1723875,-1
168,1,STEP,527137398989416,527137400734875,1745459,-1
169,1,STEP,527137400819791,527137402731625,1911834,-1
170,1,STEP,527137402818375,527137404776458,1958083,-1
171,1,STEP,527137404859583,527137406843708,1984125,-1
172,1,STEP,527137406933250,527137409011041,2077791,-1
173,1,STEP,527137409108375,527137411097583,1989208,-1
