Gen,Resource,Stamp,TimeStamp_Start,TimeStamp_End,Duration,Indiv_id
0,1,FirstEvaluation,527155454134625,527155839608583,385473958,-1
0,1,STEP,527155839814958,527155843913625,4098667,-1
1,1,STEP,527155844009208,527155847169666,3160458,-1
2,1,STEP,527155847292541,527155849455541,2163000,-1
3,1,STEP,527155849561333,527155851580416,2019083,-1
4,1,STEP,527155851694458,527155853600166,1905708,-1
5,1,STEP,527155853705416,527155855683666,1978250,-1
6,1,STEP,527155855793875,527155857621791,1827916,-1
7,1,STEP,527155857723875,527155859605583,1881708,-1
8,1,STEP,527155859727500,527155861354541,1627041,-1
9,1,STEP,527155861454583,527155863292375,1837792,-1
10,1,STEP,527155863395000,527155865396666,2001666,-1
11,1,STEP,527155865506875,527155866971500,1464625,-1
12,1,STEP,527155867069333,527155868337875,1268542,-1
13,1,STEP,527155868436125,527155869779291,1343166,-1
14,1,STEP,527155869900833,527155871372583,1471750,-1
15,1,STEP,527155871484375,527155872729583,1245208,-1
16,1,STEP,527155872827875,527155874299291,1471416,-1
17,1,STEP,527155874403583,527155875620458,1216875,-1
18,1,STEP,527155875720208,527155877120416,1400208,-1
19,1,STEP,527155877228583,527155878464875,1236292,-1
20,1,STEP,527155878569208,527155880180583,1611375,-1
21,1,STEP,527155880281958,527155881852875,1570917,-1
22,1,STEP,527155881955916,527155883228166,1272250,-1
23,1,STEP,527155883339958,527155884654333,1314375,-1
24,1,STEP,527155884754541,527155885950041,1195500,-1
25,1,STEP,527155886057625,527155887367250,1309625,-1
26,1,STEP,527155887466666,527155888721458,1254792,-1
27,1,STEP,527155888824875,527155890017958,1193083,-1
28,1,STEP,527155890114583,527155891411583,1297000,-1
29,1,STEP,527155891501250,527155893353500,1852250,-1
30,1,STEP,527155893461916,527155894700833,1238917,-1
31,1,STEP,527155894805208,527155896414916,1609708,-1
32,1,STEP,527155896541166,527155897767250,1226084,-1
33,1,STEP,527155897883916,527155899187500,1303584,-1
34,1,STEP,527155899289375,527155900518125,1228750,-1
35,1,STEP,527155900623041,527155901915458,1292417,-1
36,1,STEP,527155902016875,527155903286875,1270000,-1
37,1,STEP,527155903388500,527155904637833,1249333,-1
38,1,STEP,527155904732458,527155906120250,1387792,-1
39,1,STEP,527155906209208,527155907745833,1536625,-1
40,1,STEP,527155907853250,527155909510666,1657416,-1
41,1,STEP,527155909618791,527155911354833,1736042,-1
42,1,STEP,527155911456666,527155913194041,1737375,-1
43,1,STEP,527155913294916,527155914951583,1656667,-1
44,1,STEP,527155915048666,527155916850916,1802250,-1
45,1,STEP,527155916963375,527155918328708,1365333,-1
46,1,STEP,527155918431791,527155919711083,1279292,-1
47,1,STEP,527155919825916,527155920998583,1172667,-1
48,1,STEP,527155921095375,527155922277166,1181791,-1
49,1,STEP,527155922378958,527155923417125,1038167,-1
50,1,STEP,527155923524083,527155924713375,1189292,-1
51,1,STEP,527155924807625,527155926136333,1328708,-1
52,1,STEP,527155926242250,527155927650041,1407791,-1
53,1,STEP,527155927762375,527155929177125,1414750,-1
54,1,STEP,527155929286750,527155930661833,1375083,-1
55,1,STEP,527155930767583,527155931932125,1164542,-1
56,1,STEP,527155932041958,527155933299166,1257208,-1
57,1,STEP,527155933414458,527155934576083,1161625,-1
58,1,STEP,527155934678500,527155936000416,1321916,-1
59,1,STEP,527155936100750,527155937218416,1117666,-1
60,1,STEP,527155937324083,527155938476125,1152042,-1
61,1,STEP,527155938580875,527155939680541,1099666,-1
62,1,STEP,527155939778583,527155940909375,1130792,-1
63,1,STEP,527155941020375,527155942454708,1434333,-1
64,1,STEP,527155942573708,527155943873791,1300083,-1
65,1,STEP,527155943980041,527155945562666,1582625,-1
66,1,STEP,527155945683625,527155947764666,2081041,-1
67,1,STEP,527155947866708,527155949324416,1457708,-1
68,1,STEP,527155949442791,527155950794041,1351250,-1
69,1,STEP,527155950897708,527155952286750,1389042,-1
70,1,STEP,527155952396750,527155953740875,1344125,-1
71,1,STEP,527155953846166,527155955168625,1322459,-1
72,1,STEP,527155955276041,527155956523166,1247125,-1
73,1,STEP,527155956619166,527155957937916,1318750,-1
74,1,STEP,527155958056708,527155959570583,1513875,-1
75,1,STEP,527155959691333,527155960943416,1252083,-1
76,1,STEP,527155961038291,527155962405500,1367209,-1
77,1,STEP,527155962505791,527155963905041,1399250,-1
78,1,STEP,527155964005333,527155965278500,1273167,-1
79,1,STEP,527155965393666,527155966505833,1112167,-1
80,1,STEP,527155966606250,527155967643416,1037166,-1
81,1,STEP,527155967741375,527155968893625,1152250,-1
82,1,STEP,527155969002208,527155969957000,954792,-1
83,1,STEP,527155970054166,527155971220625,1166459,-1
84,1,STEP,527155971319125,527155972677416,1358291,-1
85,1,STEP,527155972787625,527155973761583,973958,-1
86,1,STEP,527155973865708,527155975289000,1423292,-1
87,1,STEP,527155975416083,527155976771958,1355875,-1
88,1,STEP,527155976870458,527155978016333,1145875,-1
89,1,STEP,527155978112291,527155979592750,1480459,-1
90,1,STEP,527155979687791,527155980869166,1181375,-1
91,1,STEP,527155980965083,527155982145833,1180750,-1
92,1,STEP,527155982234708,527155983751458,1516750,-1
93,1,STEP,527155983845250,527155985397958,1552708,-1
94,1,STEP,527155985491291,527155986698875,1207584,-1
95,1,STEP,527155986808875,527155988063458,1254583,-1
96,1,STEP,527155988162833,527155989479083,1316250,-1
97,1,STEP,527155989590791,527155990896500,1305709,-1
98,1,STEP,527155991011875,527155992090666,1078791,-1
99,1,STEP,527155992205500,527155993436208,1230708,-1
