Gen,Resource,Stamp,TimeStamp_Start,TimeStamp_End,Duration,Indiv_id
0,1,FirstEvaluation,1360298470992,1361095911228,797440236,-1
0,1,STEP,1361096075627,1361101822094,5746467,-1
1,1,STEP,1361101904793,1361106287368,4382575,-1
2,1,STEP,1361106355967,1361111107139,4751172,-1
3,1,STEP,1361111177039,1361115309615,4132576,-1
4,1,STEP,1361115380214,1361118746795,3366581,-1
5,1,STEP,1361118815094,1361123323768,4508674,-1
6,1,STEP,1361123393268,1361127655943,4262675,-1
7,1,STEP,1361127724642,1361131823718,4099076,-1
8,1,STEP,1361131891718,1361135324798,3433080,-1
9,1,STEP,1361135391897,1361140266769,4874872,-1
10,1,STEP,1361140337668,1361143832248,3494580,-1
11,1,STEP,1361143899948,1361148599720,4699772,-1
12,1,STEP,1361148668020,1361153526291,4858271,-1
13,1,STEP,1361153594691,1361157687367,4092676,-1
14,1,STEP,1361157757367,1361161944742,4187375,-1
15,1,STEP,1361162013842,1361165172323,3158481,-1
16,1,STEP,1361165239323,1361169236799,3997476,-1
17,1,STEP,1361169305699,1361173340075,4034376,-1
18,1,STEP,1361173408775,1361176865955,3457180,-1
19,1,STEP,1361176932454,1361179965737,3033283,-1
20,1,STEP,1361180030936,1361184131912,4100976,-1
21,1,STEP,1361184200512,1361187679692,3479180,-1
22,1,STEP,1361187746491,1361190712874,2966383,-1
23,1,STEP,1361190780173,1361194653451,3873278,-1
24,1,STEP,1361194723150,1361198873926,4150776,-1
25,1,STEP,1361198943826,1361202756703,3812877,-1
26,1,STEP,1361202825003,1361206930979,4105976,-1
27,1,STEP,1361206998979,1361211027355,4028376,-1
28,1,STEP,1361211096455,1361214590734,3494279,-1
29,1,STEP,1361214660434,1361219287307,4626873,-1
30,1,STEP,1361219358906,1361222992185,3633279,-1
31,1,STEP,1361223061285,1361226698363,3637078,-1
32,1,STEP,1361226771763,1361230548441,3776678,-1
33,1,STEP,1361230617940,1361233783022,3165082,-1
34,1,STEP,1361233850521,1361237324301,3473780,-1
35,1,STEP,1361237393801,1361240498983,3105182,-1
36,1,STEP,1361240567282,1361244077062,3509780,-1
37,1,STEP,1361244146761,1361247185644,3038883,-1
38,1,STEP,1361247254143,1361250042227,2788084,-1
39,1,STEP,1361250111326,1361253169909,3058583,-1
40,1,STEP,1361253237608,1361256630088,3392480,-1
41,1,STEP,1361256701688,1361260049368,3347680,-1
42,1,STEP,1361260121568,1361263885046,3763478,-1
43,1,STEP,1361263955745,1361267012228,3056483,-1
44,1,STEP,1361267081527,1361270155009,3073482,-1
45,1,STEP,1361270228709,1361273639989,3411280,-1
46,1,STEP,1361273710188,1361276704971,2994783,-1
47,1,STEP,1361276775170,1361279553454,2778284,-1
48,1,STEP,1361279622454,1361282597336,2974882,-1
49,1,STEP,1361282668036,1361285444220,2776184,-1
50,1,STEP,1361285513519,1361288785500,3271981,-1
51,1,STEP,1361288855200,1361292170980,3315780,-1
52,1,STEP,1361292243080,1361295757259,3514179,-1
53,1,STEP,1361295833059,1361298960341,3127282,-1
54,1,STEP,1361299032140,1361302421920,3389780,-1
55,1,STEP,1361302494820,1361306579996,4085176,-1
56,1,STEP,1361306688295,1361310793871,4105576,-1
57,1,STEP,1361310869771,1361314018553,3148782,-1
58,1,STEP,1361314092752,1361316574938,2482186,-1
59,1,STEP,1361316644037,1361319146923,2502886,-1
60,1,STEP,1361319217222,1361321950006,2732784,-1
