Gen,Resource,Stamp,TimeStamp_Start,TimeStamp_End,Duration,Indiv_id
0,1,FirstEvaluation,1152230599042,1153076497888,845898846,-1
0,1,STEP,1153076650286,1153082552242,5901956,-1
1,1,STEP,1153082624342,1153087128008,4503666,-1
2,1,STEP,1153087197807,1153092056971,4859164,-1
3,1,STEP,1153092126970,1153096327439,4200469,-1
4,1,STEP,1153096397638,1153099845612,3447974,-1
5,1,STEP,1153099913612,1153104644776,4731164,-1
6,1,STEP,1153104716676,1153109089143,4372467,-1
7,1,STEP,1153109159642,1153113283411,4123769,-1
8,1,STEP,1153113352211,1153116813985,3461774,-1
9,1,STEP,1153116880984,1153121717148,4836164,-1
10,1,STEP,1153121786947,1153125276221,3489274,-1
11,1,STEP,1153125341821,1153130147885,4806064,-1
12,1,STEP,1153130216484,1153135139247,4922763,-1
13,1,STEP,1153135209047,1153139349815,4140768,-1
14,1,STEP,1153139417915,1153143608683,4190768,-1
15,1,STEP,1153143678883,1153146913459,3234576,-1
16,1,STEP,1153146982858,1153151051528,4068670,-1
17,1,STEP,1153151119827,1153155228296,4108469,-1
18,1,STEP,1153155297896,1153158820869,3522973,-1
19,1,STEP,1153158888169,1153161967846,3079677,-1
20,1,STEP,1153162036345,1153166206014,4169669,-1
21,1,STEP,1153166270213,1153169811987,3541774,-1
22,1,STEP,1153169901386,1153172908463,3007077,-1
23,1,STEP,1153172975363,1153176864334,3888971,-1
24,1,STEP,1153176933133,1153181190901,4257768,-1
25,1,STEP,1153181260101,1153185164571,3904470,-1
26,1,STEP,1153185229671,1153189409539,4179868,-1
27,1,STEP,1153189478339,1153193557708,4079369,-1
28,1,STEP,1153193626608,1153197182081,3555473,-1
29,1,STEP,1153197251381,1153201948245,4696864,-1
30,1,STEP,1153202019945,1153205702117,3682172,-1
31,1,STEP,1153205767117,1153210211383,4444266,-1
32,1,STEP,1153210312582,1153214595250,4282668,-1
33,1,STEP,1153214677450,1153218225223,3547773,-1
34,1,STEP,1153218308522,1153222089694,3781172,-1
35,1,STEP,1153222168293,1153225700967,3532674,-1
36,1,STEP,1153225776666,1153229661837,3885171,-1
37,1,STEP,1153229740436,1153233329709,3589273,-1
38,1,STEP,1153233443709,1153236488186,3044477,-1
39,1,STEP,1153236591785,1153240005559,3413774,-1
40,1,STEP,1153240105159,1153243516733,3411574,-1
41,1,STEP,1153243593732,1153246850508,3256776,-1
42,1,STEP,1153246931407,1153250718079,3786672,-1
