Gen,Resource,Stamp,TimeStamp_Start,TimeStamp_End,Duration,Indiv_id
0,1,FirstEvaluation,527119687595541,527120080231458,392635917,-1
0,1,STEP,527120080438375,527120087916541,7478166,-1
1,1,STEP,527120088007000,527120092694333,4687333,-1
2,1,STEP,527120092786666,527120097044708,4258042,-1
3,1,STEP,527120097142041,527120100778000,3635959,-1
4,1,STEP,527120100870750,527120104148958,3278208,-1
5,1,STEP,527120104248333,527120107711958,3463625,-1
6,1,STEP,527120107809208,527120110794291,2985083,-1
7,1,STEP,527120110882708,527120114072708,3190000,-1
8,1,STEP,527120114161333,527120116765833,2604500,-1
9,1,STEP,527120116865791,527120119414083,2548292,-1
10,1,STEP,527120119513375,527120122434958,2921583,-1
11,1,STEP,527120122525666,527120125090958,2565292,-1
12,1,STEP,527120125185125,527120127831208,2646083,-1
13,1,STEP,527120127915833,527120130370875,2455042,-1
14,1,STEP,527120130482041,527120132835166,2353125,-1
15,1,STEP,527120132919541,527120134767833,1848292,-1
16,1,STEP,527120134847750,527120137249125,2401375,-1
17,1,STEP,527120137331916,527120139442666,2110750,-1
18,1,STEP,527120139533583,527120141683875,2150292,-1
19,1,STEP,527120141768500,527120143919416,2150916,-1
20,1,STEP,527120144004125,527120146739000,2734875,-1
21,1,STEP,527120146840458,527120149357041,2516583,-1
22,1,STEP,527120149444875,527120151417416,1972541,-1
23,1,STEP,527120151497416,527120153085583,1588167,-1
24,1,STEP,527120153163875,527120155499958,2336083,-1
25,1,STEP,527120155594666,527120157854958,2260292,-1
26,1,STEP,527120157943500,527120160122416,2178916,-1
27,1,STEP,527120160218000,527120162280791,2062791,-1
28,1,STEP,527120162372541,527120164247458,1874917,-1
29,1,STEP,527120164336250,527120166337125,2000875,-1
30,1,STEP,527120166433500,527120168241750,1808250,-1
31,1,STEP,527120168328166,527120170228875,1900709,-1
32,1,STEP,527120170326458,527120172378416,2051958,-1
33,1,STEP,527120172474666,527120174349291,1874625,-1
34,1,STEP,527120174431541,527120176427666,1996125,-1
35,1,STEP,527120176517875,527120178377833,1859958,-1
36,1,STEP,527120178473208,527120180416666,1943458,-1
37,1,STEP,527120180509625,527120182728750,2219125,-1
38,1,STEP,527120182828458,527120184739000,1910542,-1
39,1,STEP,527120184829500,527120186817166,1987666,-1
40,1,STEP,527120186915375,527120189317500,2402125,-1
41,1,STEP,527120189414750,527120191576791,2162041,-1
42,1,STEP,527120191675541,527120193658041,1982500,-1
43,1,STEP,527120193746791,527120195772250,2025459,-1
44,1,STEP,527120195866083,527120197925333,2059250,-1
45,1,STEP,527120198026333,527120199802083,1775750,-1
46,1,STEP,527120199896708,527120201836541,1939833,-1
47,1,STEP,527120201930791,527120203667541,1736750,-1
48,1,STEP,527120203749666,527120205623708,1874042,-1
49,1,STEP,527120205748375,527120207555833,1807458,-1
50,1,STEP,527120207650666,527120209335291,1684625,-1
51,1,STEP,527120209428291,527120211222500,1794209,-1
52,1,STEP,527120211311708,527120213288666,1976958,-1
53,1,STEP,527120213376083,527120214843791,1467708,-1
54,1,STEP,527120214924791,527120216719375,1794584,-1
55,1,STEP,527120216816625,527120218669208,1852583,-1
56,1,STEP,527120218762375,527120220634416,1872041,-1
57,1,STEP,527120220732625,527120222801791,2069166,-1
58,1,STEP,527120222893250,527120224635500,1742250,-1
59,1,STEP,527120224724791,527120226819416,2094625,-1
60,1,STEP,527120226926500,527120228897625,1971125,-1
61,1,STEP,527120228994083,527120230907166,1913083,-1
62,1,STEP,527120231006625,527120232704625,1698000,-1
63,1,STEP,527120232800791,527120235218958,2418167,-1
64,1,STEP,527120235323041,527120237049166,1726125,-1
65,1,STEP,527120237144583,527120238909250,1764667,-1
66,1,STEP,527120239008125,527120241359416,2351291,-1
67,1,STEP,527120241449166,527120243276166,1827000,-1
68,1,STEP,527120243359708,527120245211000,1851292,-1
69,1,STEP,527120245298333,527120247373958,2075625,-1
70,1,STEP,527120247468291,527120249074541,1606250,-1
71,1,STEP,527120249160333,527120251008500,1848167,-1
72,1,STEP,527120251097458,527120252963041,1865583,-1
73,1,STEP,527120253062083,527120254810875,1748792,-1
74,1,STEP,527120254913416,527120256457875,1544459,-1
75,1,STEP,527120256548500,527120258023625,1475125,-1
76,1,STEP,527120258104416,527120259655000,1550584,-1
77,1,STEP,527120259734375,527120261380541,1646166,-1
78,1,STEP,527120261465708,527120263445416,1979708,-1
79,1,STEP,527120263552250,527120265317291,1765041,-1
80,1,STEP,527120265412000,527120267029041,1617041,-1
81,1,STEP,527120267111625,527120268718375,1606750,-1
82,1,STEP,527120268810541,527120270649833,1839292,-1
83,1,STEP,527120270747833,527120272467041,1719208,-1
84,1,STEP,527120272564708,527120274151875,1587167,-1
85,1,STEP,527120274232541,527120276140041,1907500,-1
