Gen,Resource,Stamp,TimeStamp_Start,TimeStamp_End,Duration,Indiv_id
0,1,FirstEvaluation,527370250031125,527370663109208,413078083,-1
0,1,STEP,527370663357916,527370671340208,7982292,-1
1,1,STEP,527370671431000,527370676534250,5103250,-1
2,1,STEP,527370676649250,527370681097000,4447750,-1
3,1,STEP,527370681177041,527370685191250,4014209,-1
4,1,STEP,527370685296750,527370688806750,3510000,-1
5,1,STEP,527370688902958,527370692648791,3745833,-1
6,1,STEP,527370692755583,527370699001958,6246375,-1
7,1,STEP,527370699343375,527370704791041,5447666,-1
8,1,STEP,527370704890333,527370708629875,3739542,-1
9,1,STEP,527370708990166,527370714490541,5500375,-1
10,1,STEP,527370714589333,527370717923458,3334125,-1
11,1,STEP,527370718018916,527370720347458,2328542,-1
12,1,STEP,527370720432708,527370722918875,2486167,-1
13,1,STEP,527370723004708,527370726046500,3041792,-1
14,1,STEP,527370726134000,527370728619666,2485666,-1
15,1,STEP,527370728705333,527370731765333,3060000,-1
16,1,STEP,527370731866041,527370734854666,2988625,-1
17,1,STEP,527370734945625,527370737220375,2274750,-1
18,1,STEP,527370737304625,527370739914083,2609458,-1
19,1,STEP,527370740006208,527370744007250,4001042,-1
20,1,STEP,527370744232166,527370747949708,3717542,-1
21,1,STEP,527370748042208,527370751595416,3553208,-1
22,1,STEP,527370751689875,527370755080166,3390291,-1
23,1,STEP,527370755171416,527370758073875,2902459,-1
24,1,STEP,527370758160208,527370761017083,2856875,-1
25,1,STEP,527370761108958,527370764133666,3024708,-1
26,1,STEP,527370764226958,527370767041666,2814708,-1
27,1,STEP,527370767127625,527370769516958,2389333,-1
28,1,STEP,527370769616666,527370772128541,2511875,-1
29,1,STEP,527370772223958,527370774806750,2582792,-1
30,1,STEP,527370774903000,527370777923791,3020791,-1
31,1,STEP,527370778014750,527370780928458,2913708,-1
32,1,STEP,527370781026625,527370787313041,6286416,-1
33,1,STEP,527370787440291,527370790675916,3235625,-1
34,1,STEP,527370790787916,527370794521166,3733250,-1
35,1,STEP,527370794617625,527370797010500,2392875,-1
36,1,STEP,527370797103500,527370799616625,2513125,-1
37,1,STEP,527370799729833,527370802895583,3165750,-1
38,1,STEP,527370803322250,527370806047625,2725375,-1
39,1,STEP,527370806141083,527370809256166,3115083,-1
40,1,STEP,527370809354916,527370812025333,2670417,-1
41,1,STEP,527370812111541,527370814321750,2210209,-1
42,1,STEP,527370814402958,527370817292500,2889542,-1
43,1,STEP,527370817377541,527370820355166,2977625,-1
44,1,STEP,527370820457958,527370823713333,3255375,-1
45,1,STEP,527370823810916,527370828249708,4438792,-1
46,1,STEP,527370828352291,527370833644416,5292125,-1
47,1,STEP,527370833738333,527370838193250,4454917,-1
48,1,STEP,527370838289041,527370842610666,4321625,-1
49,1,STEP,527370842703083,527370845531750,2828667,-1
50,1,STEP,527370845620958,527370848795041,3174083,-1
51,1,STEP,527370848956583,527370852254125,3297542,-1
52,1,STEP,527370852649666,527370855604458,2954792,-1
53,1,STEP,527370855857000,527370859553750,3696750,-1
54,1,STEP,527370859738500,527370863343500,3605000,-1
55,1,STEP,527370863454333,527370866062416,2608083,-1
56,1,STEP,527370866166916,527370881834333,15667417,-1
57,1,STEP,527370881931583,527370884175666,2244083,-1
58,1,STEP,527370884260416,527370886958125,2697709,-1
59,1,STEP,527370887163875,527370889769458,2605583,-1
60,1,STEP,527370889869875,527370892554375,2684500,-1
61,1,STEP,527370892674291,527370895202750,2528459,-1
62,1,STEP,527370895303458,527370897916166,2612708,-1
63,1,STEP,527370898009625,527370900532083,2522458,-1
64,1,STEP,527370900619750,527370902964500,2344750,-1
65,1,STEP,527370903053791,527370910146833,7093042,-1
66,1,STEP,527370910244416,527370917522833,7278417,-1
67,1,STEP,527370917618000,527370920054166,2436166,-1
68,1,STEP,527370920145166,527370922661166,2516000,-1
69,1,STEP,527370922755041,527370924983375,2228334,-1
70,1,STEP,527370925072625,527370927602791,2530166,-1
71,1,STEP,527370927764083,527370930080833,2316750,-1
72,1,STEP,527370930174791,527370932845166,2670375,-1
73,1,STEP,527370932932875,527370935291833,2358958,-1
74,1,STEP,527370935382500,527370937969208,2586708,-1
75,1,STEP,527370938082166,527370940939666,2857500,-1
76,1,STEP,527370941035291,527370943834041,2798750,-1
77,1,STEP,527370943921958,527370947219083,3297125,-1
78,1,STEP,527370947320041,527370950022458,2702417,-1
79,1,STEP,527370950113750,527370952555083,2441333,-1
80,1,STEP,527370952638416,527370954824125,2185709,-1
81,1,STEP,527370954906166,527370957193500,2287334,-1
82,1,STEP,527370957284166,527370959923750,2639584,-1
83,1,STEP,527370960022250,527370962756041,2733791,-1
84,1,STEP,527370962846833,527370964867000,2020167,-1
85,1,STEP,527370964953750,527370966889791,1936041,-1
86,1,STEP,527370966978291,527370969582625,2604334,-1
87,1,STEP,527370969671750,527370972199916,2528166,-1
88,1,STEP,527370972283333,527370974282791,1999458,-1
89,1,STEP,527370974385541,527370976983500,2597959,-1
90,1,STEP,527370977087083,527370979409500,2322417,-1
91,1,STEP,527370979496750,527370981573375,2076625,-1
92,1,STEP,527370981667166,527370983838041,2170875,-1
93,1,STEP,527370984098750,527370986183416,2084666,-1
94,1,STEP,527370986274458,527370988202083,1927625,-1
95,1,STEP,527370988291125,527370990743583,2452458,-1
96,1,STEP,527370990848708,527370992924000,2075292,-1
97,1,STEP,527370993022125,527370994997166,1975041,-1
98,1,STEP,527370995081708,527370997068250,1986542,-1
99,1,STEP,527370997152625,527370999558375,2405750,-1
100,1,STEP,527370999652583,527371001788375,2135792,-1
101,1,STEP,527371001872041,527371003968125,2096084,-1
102,1,STEP,527371004110208,527371006196958,2086750,-1
103,1,STEP,527371006320041,527371008546291,2226250,-1
104,1,STEP,527371008708333,527371010795916,2087583,-1
105,1,STEP,527371010889708,527371013194833,2305125,-1
106,1,STEP,527371013277583,527371015474208,2196625,-1
107,1,STEP,527371015661833,527371017838166,2176333,-1
108,1,STEP,527371017993666,527371020697125,2703459,-1
109,1,STEP,527371020796458,527371022996083,2199625,-1
110,1,STEP,527371023147625,527371025175000,2027375,-1
111,1,STEP,527371025265458,527371027183500,1918042,-1
112,1,STEP,527371027273666,527371029308375,2034709,-1
113,1,STEP,527371029399625,527371031228291,1828666,-1
114,1,STEP,527371031307791,527371033346500,2038709,-1
115,1,STEP,527371033453541,527371035315125,1861584,-1
116,1,STEP,527371035400333,527371037297750,1897417,-1
117,1,STEP,527371037412583,527371039128500,1715917,-1
118,1,STEP,527371039215250,527371041004666,1789416,-1
119,1,STEP,527371041092916,527371043309208,2216292,-1
120,1,STEP,527371043395750,527371045309333,1913583,-1
121,1,STEP,527371045515583,527371047739708,2224125,-1
122,1,STEP,527371047882875,527371049827791,1944916,-1
123,1,STEP,527371049914875,527371051400666,1485791,-1
124,1,STEP,527371051488250,527371053441916,1953666,-1
125,1,STEP,527371053536875,527371055526208,1989333,-1
126,1,STEP,527371055660833,527371058592583,2931750,-1
127,1,STEP,527371058699875,527371060750750,2050875,-1
128,1,STEP,527371060920291,527371062534750,1614459,-1
129,1,STEP,527371062630333,527371064881583,2251250,-1
130,1,STEP,527371065015833,527371066807541,1791708,-1
131,1,STEP,527371066895708,527371069527666,2631958,-1
132,1,STEP,527371069609250,527371071913958,2304708,-1
133,1,STEP,527371072001791,527371076361500,4359709,-1
134,1,STEP,527371076647375,527371078518416,1871041,-1
135,1,STEP,527371078611958,527371080867875,2255917,-1
136,1,STEP,527371081025541,527371083135708,2110167,-1
137,1,STEP,527371083612125,527371085584291,1972166,-1
138,1,STEP,527371085674750,527371087867416,2192666,-1
139,1,STEP,527371087959500,527371089760166,1800666,-1
140,1,STEP,527371089853375,527371092300833,2447458,-1
141,1,STEP,527371092401625,527371094492791,2091166,-1
142,1,STEP,527371094595958,527371096545416,1949458,-1
