Gen,Resource,Stamp,TimeStamp_Start,TimeStamp_End,Duration,Indiv_id
0,1,FirstEvaluation,527189612899458,527189995792166,382892708,-1
0,1,STEP,527189996006625,527189999875166,3868541,-1
1,1,STEP,527189999973083,527190002767791,2794708,-1
2,1,STEP,527190002891208,527190005248666,2357458,-1
3,1,STEP,527190005353958,527190007295708,1941750,-1
4,1,STEP,527190007418208,527190009557041,2138833,-1
5,1,STEP,527190009653916,527190011316750,1662834,-1
6,1,STEP,527190011471375,527190012964666,1493291,-1
7,1,STEP,527190013065083,527190014498666,1433583,-1
8,1,STEP,527190014633750,527190015936875,1303125,-1
9,1,STEP,527190016042750,527190017444291,1401541,-1
10,1,STEP,527190017538833,527190018928291,1389458,-1
11,1,STEP,527190019054250,527190020524625,1470375,-1
12,1,STEP,527190020632583,527190022078500,1445917,-1
13,1,STEP,527190022180583,527190023620875,1440292,-1
14,1,STEP,527190023722583,527190025852083,2129500,-1
15,1,STEP,527190025949833,527190027526833,1577000,-1
16,1,STEP,527190027619375,527190029031083,1411708,-1
17,1,STEP,527190029146083,527190030577083,1431000,-1
18,1,STEP,527190030688833,527190032266083,1577250,-1
19,1,STEP,527190032356666,527190033939166,1582500,-1
20,1,STEP,527190034034958,527190035509833,1474875,-1
21,1,STEP,527190035626416,527190037047375,1420959,-1
22,1,STEP,527190037151083,527190038327708,1176625,-1
23,1,STEP,527190038423125,527190039486916,1063791,-1
24,1,STEP,527190039584833,527190040652375,1067542,-1
25,1,STEP,527190040748625,527190042412666,1664041,-1
26,1,STEP,527190042513166,527190043826000,1312834,-1
27,1,STEP,527190043932291,527190046510458,2578167,-1
28,1,STEP,527190046613291,527190048551250,1937959,-1
29,1,STEP,527190048716208,527190050234416,1518208,-1
30,1,STEP,527190050346125,527190051595208,1249083,-1
31,1,STEP,527190051701833,527190053072291,1370458,-1
32,1,STEP,527190053184833,527190054464708,1279875,-1
33,1,STEP,527190054558875,527190055825750,1266875,-1
34,1,STEP,527190055927250,527190057258583,1331333,-1
35,1,STEP,527190057356541,527190059115458,1758917,-1
36,1,STEP,527190059225541,527190060658000,1432459,-1
37,1,STEP,527190060758791,527190061947875,1189084,-1
38,1,STEP,527190062048125,527190063452083,1403958,-1
39,1,STEP,527190063546500,527190064715250,1168750,-1
40,1,STEP,527190064808583,527190066366541,1557958,-1
41,1,STEP,527190066466666,527190067881083,1414417,-1
42,1,STEP,527190067966583,527190069055000,1088417,-1
43,1,STEP,527190069146458,527190070311333,1164875,-1
44,1,STEP,527190070412458,527190071723083,1310625,-1
45,1,STEP,527190071821291,527190073310125,1488834,-1
46,1,STEP,527190073405666,527190074979625,1573959,-1
47,1,STEP,527190075086541,527190076904208,1817667,-1
48,1,STEP,527190077002000,527190078343708,1341708,-1
49,1,STEP,527190078444958,527190079597458,1152500,-1
50,1,STEP,527190079691750,527190080921708,1229958,-1
51,1,STEP,527190081016541,527190082381375,1364834,-1
52,1,STEP,527190082478500,527190084022041,1543541,-1
53,1,STEP,527190084109708,527190085767541,1657833,-1
54,1,STEP,527190085869541,527190087231916,1362375,-1
55,1,STEP,527190087328583,527190088801708,1473125,-1
56,1,STEP,527190088905166,527190090477916,1572750,-1
57,1,STEP,527190090577250,527190092046958,1469708,-1
58,1,STEP,527190092130250,527190093486000,1355750,-1
59,1,STEP,527190093583416,527190095056833,1473417,-1
60,1,STEP,527190095148583,527190096525250,1376667,-1
61,1,STEP,527190096617583,527190098278958,1661375,-1
62,1,STEP,527190098377791,527190100464458,2086667,-1
63,1,STEP,527190100579083,527190102910583,2331500,-1
